Id; Nom;Adresse;departement;ville;CP;Telephone;Email;Horaires;Remarques;lat;long
0;Agence CMA de Digne-les-Bains;23, allée des Fontainiers, 04000 - Digne-les-Bains;Alpes-de-Haute-Provence;Digne-les-Bains;04000;04 84 31 00 00;contact@cmar-paca.fr;Accueil sur rendez-vous du lundi au vendredi 9h - 12h / 13h30 - 17h;Pas d'accueil du public. Nos conseillers vous reçoivent uniquement sur rendez-vous.;44.0936565252992;6.23293998197927
1;Agence CMA de Gap;Square Voltaire - CS 70168, 05005 - Gap cedex;Hautes-Alpes;Gap;05005;04 84 31 00 00;contact@cmar-paca.fr;Accueil sur rendez-vous du lundi au jeudi 8h - 12h / 13h30 - 17h et le vendredi 8h - 12h;Nos conseillers vous reçoivent uniquement sur rendez-vous.;44.557009586788;6.07695510269501
2;Agence CMA de Saint-Laurent-du-Var;81, avenue Léon Bérenger, 06704 Saint-Laurent-du-Var;Alpes-Maritimes;Saint-Laurent-du-Var;06704;04 84 31 00 00;contact@cmar-paca.fr;Du lundi au vendredi 9h - 16h;;43.6591225172701;7.19364515036099
3;Agence CMA de Marseille-Prado;117, avenue du Prado - 13008 Marseille;Bouches-du-Rhône;Marseille;13008;04 91 32 24 24;contact13@cmar-paca.fr;Du lundi au vendredi 8h30 - 12h30 / 13h30 - 17h<br /> Accueil du public pour les démarches administratives :<br /> sans rendez-vous : lundi - mardi matin - mercredi - jeudi matin - vendredi (pas d'accueil les mardis et jeudis après-midi);L'adresse unique et sans rendez-vous à Marseille pour toutes vos formalités et formations.;43.2803467782725;5.3875056490445
4;Agence CMA de Marseille-Pèbre;5, boulevard Pèbre - 13008 Marseille;Bouches-du-Rhône;Marseille;13008;04 91 32 24 24;contact13@cmar-paca.fr;Accueil uniquement sur rendez-vous du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h;Pas d'accueil du public. Nos conseillers vous reçoivent uniquement sur rendez-vous.;43.2667457907955;5.38498426396776
5;Agence CMA de Venelles;1, impasse du Plateau-de-la-Gare, 13770 Venelles;Bouches-du-Rhône;Venelles;13770;04 42 54 11 96;contact13@cmar-paca.fr;Accueil sur rendez-vous du lundi au vendredi 8h30 - 12h30 / 13h30 - 17h;Pas d'accueil du public. Nos conseillers vous reçoivent uniquement sur rendez-vous.;43.5873912814578;5.47445754709873
6;Agence CMA de Draguignan;73, place du 7e Bataillon de Chasseurs Alpins, Espace Chabran, 83300 Draguignan;Var;Draguignan;83300;04 94 61 99 15;formalites83.draguignan@cmar-paca.fr;Du lundi au vendredi 8h30 - 12h30 / 13h30 - 17h <br /> Agence fermée le jeudi après-midi;;43.5328667622171;6.47234029357156
7;Agence CMA de La Valette-du-Var;Avenue des Frères Lumière, 83160 La Valette-du-Var;Var;La Valette-du-Var;83160;04 94 61 99 00;contact83@cmar-paca.fr;Du lundi au vendredi 8h30 - 12h30 / 13h30 - 17h <br /> Pas d'accueil de public le jeudi après-midi;Pas d'accueil de public le jeudi après-midi.;43.1352559218753;5.99821895139995
8;Agence CMA Avignon-Fontcouverte;9, avenue de l’étang, 84000 Avignon;Vaucluse;Avignon;84000;04 90 89 20 40;contact@cmar-paca.fr;Uniquement sur rendez-vous du lundi au vendredi 8h30 - 12h / 13h - 17h;Pas d'accueil du public. Nos conseillers vous reçoivent uniquement sur rendez-vous.;43.9346389035278;4.85300500757795
9;Agence CMA Avignon-Vernet;35, rue Joseph Vernet, 84000 Avignon;Vaucluse;Avignon;84000;04 84 31 00 00;contact@cmar-paca.fr;Du lundi au vendredi 8h30 - 12h / 13h - 16h30 <br />Accueil du public pour les démarches administratives :<br />- sans rendez-vous lundi, mercredi, vendredi toute la journée ainsi que mardi et jeudi matin<br />- sur rendez-vous : mardi et jeudi après-midi<br />- sur rendez-vous pour les mandataires le vendredi de 8h30 à 12h<br />Par ailleurs, une permanence économique vous accueille les lundis, mercredi et vendredi matin sans rendez-vous, et sinon sur rdv.;43.9483890546994;4.80369803548789
